,borouch,block,zipCode,residental units,gross square,taxClass,sale price
3537,2,5589,5,2,1600,1,539000
3538,2,5589,5,2,1836,1,588000
3539,2,5589,5,2,1836,1,330000
3540,2,5590,5,2,2400,1,549000
3541,2,5591,5,2,2100,1,355000
3542,2,5592,5,2,888,1,310000
3543,2,5592,5,2,2322,1,611000
3544,2,5592,5,2,2838,1,570000
3545,2,5592,5,2,2014,1,510000
3546,2,5596,5,2,3250,1,840056
3547,2,5596,5,2,3250,1,825000
3548,2,5596,5,2,2700,1,570000
3549,2,5598,5,2,1750,1,540000
3550,2,5598,5,2,2214,1,565000
3551,2,5599,5,2,2280,1,360000
3552,2,5599,5,2,2400,1,640000
3553,2,5601,5,2,4050,1,669000
3554,2,5430,5,3,2624,1,693000
3555,2,5441,5,3,2664,1,282500
3556,2,5487,5,3,3393,1,735000
3557,2,5488,5,3,2500,1,785000
3558,2,5519,5,3,3400,1,606351
3559,2,5519,5,3,3400,1,634267
3560,2,5532,5,3,2362,1,643000
3561,2,5533,5,3,2224,1,635000
3562,2,5562,5,3,2508,1,720000
3563,2,5579,5,3,2780,1,507000
3564,2,5582,5,3,2535,1,475000
3565,2,5582,5,3,2535,1,560000
3566,2,5591,5,3,2376,1,400000
3567,2,5592,5,3,3405,1,720000
3568,2,5592,5,3,3408,1,560000
3569,2,5596,5,3,3298,1,770000
3570,2,5543,5,4,3240,2,330931
3571,2,5543,5,4,3321,2,525000
3572,2,5431,5,0,7200,4,2030000
3573,2,5435,5,0,950,4,1400000
3574,2,5543,5,2,2611,4,350000
3575,2,5576,5,0,1911,4,1250000
3576,2,4996,5,1,1732,1,365000
3577,2,4997,5,1,1760,1,599000
3578,2,5004,5,1,1216,1,425000
3579,2,5004,5,1,1266,1,421000
3580,2,5004,5,1,1260,1,369000
3581,2,5006,5,1,1328,1,250458
3582,2,5007,5,1,1918,1,426000
3583,2,5007,5,1,1286,1,392000
3584,2,5008,5,1,1400,1,345000
3585,2,5009,5,1,1044,1,440000
3586,2,5012,5,1,1186,1,380000
3587,2,5012,5,1,1186,1,390000
3588,2,5013,5,1,1064,1,446000
3589,2,5013,5,1,1064,1,300000
3590,2,5014,5,1,1425,1,410000
3591,2,5015,5,1,1554,1,385000
3592,2,5015,5,1,1188,1,255000
3593,2,5015,5,1,1338,1,370000
3594,2,5016,5,1,1224,1,449000
3595,2,5017,5,1,1248,1,263639
3596,2,5022,5,1,1536,1,345000
3597,2,5022,5,1,1585,1,270000
3598,2,5022,5,1,960,1,241984
3599,2,5026,5,1,690,1,325000
3600,2,5027,5,1,1363,1,450000
3601,2,5029,5,1,1056,1,245000
3602,2,5029,5,1,1260,1,370000
3603,2,5030,5,1,1260,1,469000
3604,2,5030,5,1,1260,1,280000
3605,2,5034,5,1,1312,1,220000
3606,2,5044,5,1,1813,1,465548
3607,2,5044,5,1,1813,1,236775
3608,2,5044,5,1,1312,1,400000
3609,2,5048,5,1,968,1,435000
3610,2,5048,5,1,1486,1,420000
3611,2,5050,5,1,1146,1,375000
3612,2,5053,5,1,1136,1,253500
3613,2,5053,5,1,1485,1,380000
3614,2,5055,5,1,1952,1,363000
3615,2,5055,5,1,1376,1,319000
3616,2,5058,5,1,1152,1,439999
3617,2,5059,5,2,1068,1,655000
3618,2,5067,5,1,1870,1,389000
3619,2,5067,5,1,1562,1,350000
3620,2,5078,5,1,1800,1,460000
3621,2,5080,5,1,1750,1,425000
